date,product_id,impressions,video_views,live_stream_placements,exposure_score
2025-06-28,PRD0002,3278,1288,5,32.8
2025-07-05,PRD0002,3178,1266,5,30.3
2025-07-12,PRD0002,3842,1705,9,39.6
2025-07-19,PRD0002,3775,1840,8,40.1
2025-07-26,PRD0002,3365,1586,5,29.7
2025-08-02,PRD0002,3753,1520,6,38.4
2025-08-09,PRD0002,3182,1199,6,31.5
2025-08-16,PRD0002,3900,1687,5,33.2
2025-08-23,PRD0002,3385,1320,4,28.6
2025-08-30,PRD0002,3681,1849,5,33.8
2025-09-06,PRD0002,3377,1196,7,33.2
2025-09-13,PRD0002,3912,1925,6,39.1
2025-09-20,PRD0002,4040,1774,9,41.7
2025-09-27,PRD0002,3568,1577,5,33.8
2025-10-04,PRD0002,3823,1533,8,37.5
2025-10-11,PRD0002,3191,1379,5,30.4
2025-10-18,PRD0002,3114,1418,7,34.0
2025-10-25,PRD0002,3080,1347,3,25.9
2025-11-01,PRD0002,3925,1994,7,39.6
2025-11-08,PRD0002,3748,1862,7,40.8
2025-11-15,PRD0002,3906,1782,8,43.2
2025-11-22,PRD0002,3157,1687,6,34.7
2025-11-29,PRD0002,3875,1950,6,35.6
2025-12-06,PRD0002,3550,1867,7,37.6
2025-12-13,PRD0002,3141,1506,5,30.3
2025-12-20,PRD0002,3811,1959,6,33.8
2025-12-27,PRD0002,3683,1293,8,36.6
2026-01-03,PRD0002,3306,1439,4,28.0
2026-01-10,PRD0002,3791,1574,6,37.3
2026-01-17,PRD0002,3894,1810,6,39.2
2026-01-24,PRD0002,3999,1521,8,39.7
2026-01-31,PRD0002,3258,1157,6,34.6
2026-02-07,PRD0002,3905,1788,9,41.8
2026-02-14,PRD0002,3403,1347,4,29.0
2026-02-21,PRD0002,3521,1423,8,36.8
2026-02-28,PRD0002,3446,1300,7,35.7
2026-03-07,PRD0002,3964,1684,6,38.9
2026-03-14,PRD0002,3862,1645,6,36.2
2026-03-21,PRD0002,3284,1399,7,32.8
2026-03-28,PRD0002,3251,1731,6,30.9
2026-04-04,PRD0002,3880,1451,6,37.5
2026-04-11,PRD0002,3872,1600,5,37.5
2026-04-18,PRD0002,3927,1657,5,33.2
2026-04-25,PRD0002,3556,1249,7,36.2
2026-05-02,PRD0002,3989,1679,9,45.7
2026-05-09,PRD0002,3531,1834,5,35.2
2026-05-16,PRD0002,3153,1509,5,30.1
2026-05-23,PRD0002,4090,1656,8,41.0
2026-05-30,PRD0002,3214,1284,6,30.7
2026-06-06,PRD0002,3230,1579,6,30.5
2026-06-13,PRD0002,3929,2055,7,38.4
2026-06-20,PRD0002,3510,1339,4,32.7
2026-06-27,PRD0002,4105,2045,8,40.2
2025-05-14,PRD0003,8523,3169,11,76.8
2025-05-21,PRD0003,7207,3423,16,75.2
2025-05-28,PRD0003,7242,3669,11,72.6
2025-06-04,PRD0003,6583,3452,15,67.0
2025-06-11,PRD0003,7370,3461,13,69.4
2025-06-18,PRD0003,6539,3461,8,62.5
2025-06-25,PRD0003,6763,3010,16,79.3
2025-07-02,PRD0003,7737,2915,14,79.2
2025-07-09,PRD0003,7220,3204,16,73.7
2025-07-16,PRD0003,8012,3390,15,84.0
2025-07-23,PRD0003,7602,3799,16,76.8
2025-07-30,PRD0003,7008,2634,16,73.5
2025-08-06,PRD0003,6693,2469,11,68.8
2025-08-13,PRD0003,6746,2666,9,62.9
2025-08-20,PRD0003,7259,3954,14,74.7
2025-08-27,PRD0003,7830,4124,16,77.4
2025-09-03,PRD0003,7473,3603,14,80.9
2025-09-10,PRD0003,6583,3496,10,58.0
2025-09-17,PRD0003,6959,2689,9,58.3
2025-09-24,PRD0003,8329,3184,13,80.4
2025-10-01,PRD0003,7615,3189,14,80.5
2025-10-08,PRD0003,7830,3448,11,73.7
2025-10-15,PRD0003,7758,2898,11,74.8
2025-10-22,PRD0003,8626,3600,19,89.6
2025-10-29,PRD0003,8357,3739,15,85.7
2025-11-05,PRD0003,8038,3363,14,74.2
2025-11-12,PRD0003,7344,3513,17,76.2
2025-11-19,PRD0003,7026,3101,9,63.7
2025-11-26,PRD0003,7183,3768,11,67.5
2025-12-03,PRD0003,8764,3212,19,94.1
2025-12-10,PRD0003,7417,3992,17,77.5
2025-12-17,PRD0003,8433,3325,10,77.0
2025-12-24,PRD0003,7317,3440,10,70.8
2025-12-31,PRD0003,7710,3932,12,70.5
2026-01-07,PRD0003,8679,3959,14,78.6
2026-01-14,PRD0003,6885,3283,13,73.8
2026-01-21,PRD0003,8229,3130,19,92.1
2026-01-28,PRD0003,8475,3438,19,98.5
2026-02-04,PRD0003,7185,3809,17,84.7
2026-02-11,PRD0003,7579,2858,17,76.1
2026-02-18,PRD0003,7082,3265,11,71.9
2026-02-25,PRD0003,7912,4287,10,70.0
2026-03-04,PRD0003,6835,3516,14,75.1
2026-03-11,PRD0003,8688,3462,18,93.6
2026-03-18,PRD0003,7402,2876,16,74.1
2026-03-25,PRD0003,8716,3532,19,88.3
2026-04-01,PRD0003,8203,4420,11,74.1
2026-04-08,PRD0003,8048,4041,9,65.7
2026-04-15,PRD0003,7219,2674,14,73.9
2026-04-22,PRD0003,8021,3286,10,74.3
2026-04-29,PRD0003,7548,2748,17,87.4
2026-05-06,PRD0003,7288,2947,17,79.1
2026-05-13,PRD0003,8550,3185,15,85.9
2026-05-20,PRD0003,8516,4158,18,94.1
2026-05-27,PRD0003,7020,2601,16,78.1
2026-06-03,PRD0003,7880,3329,17,86.5
2026-06-10,PRD0003,8426,4572,14,83.8
2026-06-17,PRD0003,8491,3447,17,85.3
2026-06-24,PRD0003,7082,3197,12,73.0
2025-04-14,PRD0004,5227,1935,11,53.2
2025-04-21,PRD0004,5965,2792,11,56.6
2025-04-28,PRD0004,6478,3185,12,68.9
2025-05-05,PRD0004,5752,2610,13,61.6
2025-05-12,PRD0004,6157,2881,13,69.9
2025-05-19,PRD0004,6110,2282,12,61.8
2025-05-26,PRD0004,6284,3335,10,59.4
2025-06-02,PRD0004,6412,2689,13,70.7
2025-06-09,PRD0004,6106,2775,14,70.2
2025-06-16,PRD0004,6204,3136,12,59.1
2025-06-23,PRD0004,6094,2162,14,62.8
2025-06-30,PRD0004,6729,3434,13,72.8
2025-07-07,PRD0004,5990,2508,12,59.9
2025-07-14,PRD0004,4380,1934,8,42.5
2025-07-21,PRD0004,4383,2209,6,39.1
2025-07-28,PRD0004,4236,2173,6,41.4
2025-08-04,PRD0004,4225,2103,6,37.5
2025-08-11,PRD0004,3413,1687,4,29.1
2025-08-18,PRD0004,3266,1393,2,25.9
2025-08-25,PRD0004,3625,1918,4,33.6
2025-09-01,PRD0004,2697,1257,3,24.1
2025-09-08,PRD0004,3069,1404,2,24.6
2025-09-15,PRD0004,2280,1070,2,18.4
2025-09-22,PRD0004,2534,1156,1,19.6
2025-09-29,PRD0004,2452,1257,2,19.2
2025-10-06,PRD0004,1762,968,1,12.5
2025-10-13,PRD0004,1974,798,1,15.5
2025-10-20,PRD0004,1665,657,0,10.3
2025-10-27,PRD0004,1499,530,0,10.3
2025-11-03,PRD0004,1525,707,0,10.4
2025-11-10,PRD0004,1457,768,0,9.8
2025-11-17,PRD0004,1514,773,0,9.6
2025-11-24,PRD0004,1427,590,0,9.9
2025-12-01,PRD0004,1270,695,0,8.3
2025-12-08,PRD0004,1190,603,0,7.7
2025-12-15,PRD0004,1044,491,0,7.0
2025-12-22,PRD0004,912,498,0,6.0
2025-12-29,PRD0004,928,417,0,6.5
2026-01-05,PRD0004,912,421,0,5.8
2026-01-12,PRD0004,801,389,0,5.4
2026-01-19,PRD0004,1016,503,0,6.6
2026-01-26,PRD0004,1015,555,0,6.5
2026-02-02,PRD0004,943,392,0,6.5
2026-02-09,PRD0004,800,366,0,5.1
2026-02-16,PRD0004,925,455,0,5.7
2026-02-23,PRD0004,926,422,0,6.2
2026-03-02,PRD0004,923,463,0,5.7
2026-03-09,PRD0004,894,334,0,6.2
2026-03-16,PRD0004,1016,434,0,6.8
2026-03-23,PRD0004,854,315,0,5.7
2026-03-30,PRD0004,896,346,0,5.6
2026-04-06,PRD0004,932,389,0,6.1
2026-04-13,PRD0004,924,504,0,5.9
2026-04-20,PRD0004,1020,464,0,6.5
2026-04-27,PRD0004,1005,464,0,7.0
2026-05-04,PRD0004,928,358,0,5.9
2026-05-11,PRD0004,1007,473,0,6.9
2026-05-18,PRD0004,998,384,0,6.8
2026-05-25,PRD0004,772,353,0,5.4
2026-06-01,PRD0004,845,345,0,5.2
2026-06-08,PRD0004,1003,450,0,7.0
2026-06-15,PRD0004,1013,542,0,6.5
2026-06-22,PRD0004,793,365,0,5.0
2026-06-29,PRD0004,981,380,0,6.2
2026-01-14,PRD0005,5116,2733,11,58.2
2026-01-21,PRD0005,4831,2501,6,43.2
2026-01-28,PRD0005,4771,1975,8,47.1
2026-02-04,PRD0005,4591,1968,8,43.4
2026-02-11,PRD0005,4302,1891,6,42.4
2026-02-18,PRD0005,4447,1943,5,35.8
2026-02-25,PRD0005,4008,1852,7,38.5
2026-03-04,PRD0005,5219,2631,11,57.1
2026-03-11,PRD0005,4585,1642,10,47.8
2026-03-18,PRD0005,4667,2473,8,46.9
2026-03-25,PRD0005,4874,2226,6,42.1
2026-04-01,PRD0005,4122,2237,5,38.4
2026-04-08,PRD0005,5057,2516,9,47.9
2026-04-15,PRD0005,4371,2141,10,45.0
2026-04-22,PRD0005,5161,2727,10,49.6
2026-04-29,PRD0005,4143,1621,8,39.4
2026-05-06,PRD0005,5123,2004,10,56.2
2026-05-13,PRD0005,3872,1541,8,42.8
2026-05-20,PRD0005,5208,2850,11,54.2
2026-05-27,PRD0005,5008,1797,6,42.5
2026-06-03,PRD0005,4777,2514,8,47.2
2026-06-10,PRD0005,5044,2397,7,49.1
2026-06-17,PRD0005,4870,1970,9,48.6
2026-06-24,PRD0005,4430,1796,10,50.6
2026-05-22,PRD0006,4662,2277,5,41.7
2026-05-29,PRD0006,5242,1908,5,41.5
2026-06-05,PRD0006,4088,1869,4,35.6
2026-06-12,PRD0006,4789,2341,5,39.5
2026-06-19,PRD0006,3974,1995,4,35.6
2026-06-26,PRD0006,3419,1775,3,28.2
2025-06-01,PRD0007,7947,2955,11,76.9
2025-06-08,PRD0007,7262,3649,15,73.4
2025-06-15,PRD0007,8299,3631,11,76.5
2025-06-22,PRD0007,6917,3712,14,68.8
2025-06-29,PRD0007,7325,3029,13,78.0
2025-07-06,PRD0007,8381,4478,12,74.3
2025-07-13,PRD0007,6705,2552,8,55.2
2025-07-20,PRD0007,5735,2761,7,53.8
2025-07-27,PRD0007,5273,2402,7,45.3
2025-08-03,PRD0007,4741,2308,5,40.8
2025-08-10,PRD0007,4617,2477,4,35.7
2025-08-17,PRD0007,4273,1821,4,37.3
2025-08-24,PRD0007,3892,1536,4,33.4
2025-08-31,PRD0007,4151,2209,4,35.6
2025-09-07,PRD0007,3770,1658,3,31.2
2025-09-14,PRD0007,3254,1781,2,26.7
2025-09-21,PRD0007,3137,1323,1,22.8
2025-09-28,PRD0007,3221,1770,2,24.3
2025-10-05,PRD0007,2780,1053,1,20.7
2025-10-12,PRD0007,2180,938,1,15.8
2025-10-19,PRD0007,2217,961,1,16.2
2025-10-26,PRD0007,2011,834,0,13.5
2025-11-02,PRD0007,1750,679,0,12.0
2025-11-09,PRD0007,1861,986,0,12.6
2025-11-16,PRD0007,1733,680,0,10.6
2025-11-23,PRD0007,1467,757,0,9.7
2025-11-30,PRD0007,1289,593,0,8.2
2025-12-07,PRD0007,1186,520,0,7.6
2025-12-14,PRD0007,1149,573,0,7.1
2025-12-21,PRD0007,1305,508,0,8.4
2025-12-28,PRD0007,1069,573,0,7.4
2026-01-04,PRD0007,1288,676,0,8.7
2026-01-11,PRD0007,1025,535,0,7.0
2026-01-18,PRD0007,1348,526,0,8.4
2026-01-25,PRD0007,1153,613,0,7.9
2026-02-01,PRD0007,1276,520,0,8.4
2026-02-08,PRD0007,1077,466,0,7.1
2026-02-15,PRD0007,1222,542,0,8.2
2026-02-22,PRD0007,1375,663,0,8.9
2026-03-01,PRD0007,1071,456,0,6.6
2026-03-08,PRD0007,1271,652,0,8.4
2026-03-15,PRD0007,1345,731,0,8.8
2026-03-22,PRD0007,1379,727,0,8.5
2026-03-29,PRD0007,1164,442,0,7.9
2026-04-05,PRD0007,1369,566,0,9.5
2026-04-12,PRD0007,1240,632,0,8.5
2026-04-19,PRD0007,1083,563,0,6.8
2026-04-26,PRD0007,1353,606,0,8.2
2026-05-03,PRD0007,1133,498,0,6.8
2026-05-10,PRD0007,1297,572,0,8.5
2026-05-17,PRD0007,1375,652,0,8.3
2026-05-24,PRD0007,1349,574,0,9.0
2026-05-31,PRD0007,1143,583,0,7.8
2026-06-07,PRD0007,1146,617,0,7.5
2026-06-14,PRD0007,1119,596,0,6.8
2026-06-21,PRD0007,1137,513,0,7.7
2026-06-28,PRD0007,1061,387,0,6.5
2025-08-31,PRD0008,5590,1967,6,50.3
2025-09-07,PRD0008,4968,1894,8,50.6
2025-09-14,PRD0008,4950,2510,5,39.5
2025-09-21,PRD0008,3816,1904,3,28.7
2025-09-28,PRD0008,3417,1736,3,26.1
2025-10-05,PRD0008,3436,1566,4,28.7
2025-10-12,PRD0008,3595,1392,3,30.0
2025-10-19,PRD0008,2880,1114,2,21.5
2025-10-26,PRD0008,2701,1238,3,24.1
2025-11-02,PRD0008,2487,963,2,21.6
2025-11-09,PRD0008,2697,1263,2,21.5
2025-11-16,PRD0008,2325,1197,2,19.1
2025-11-23,PRD0008,2547,1019,2,19.1
2025-11-30,PRD0008,1924,955,1,15.2
2025-12-07,PRD0008,1971,972,0,13.3
2025-12-14,PRD0008,1697,904,0,11.3
2025-12-21,PRD0008,1352,544,0,8.7
2025-12-28,PRD0008,1460,656,0,9.2
2026-01-04,PRD0008,1279,597,0,8.1
2026-01-11,PRD0008,1293,691,0,9.0
2026-01-18,PRD0008,1359,598,0,9.2
2026-01-25,PRD0008,962,363,0,6.7
2026-02-01,PRD0008,1021,360,0,6.8
2026-02-08,PRD0008,985,380,0,6.3
2026-02-15,PRD0008,829,293,0,5.2
2026-02-22,PRD0008,846,334,0,5.7
2026-03-01,PRD0008,905,345,0,5.5
2026-03-08,PRD0008,694,287,0,4.4
2026-03-15,PRD0008,904,461,0,5.4
2026-03-22,PRD0008,716,340,0,4.6
2026-03-29,PRD0008,709,288,0,4.8
2026-04-05,PRD0008,767,417,0,4.9
2026-04-12,PRD0008,728,302,0,5.0
2026-04-19,PRD0008,898,488,0,5.9
2026-04-26,PRD0008,758,294,0,4.8
2026-05-03,PRD0008,911,360,0,5.7
2026-05-10,PRD0008,795,352,0,5.2
2026-05-17,PRD0008,858,407,0,5.6
2026-05-24,PRD0008,892,483,0,5.8
2026-05-31,PRD0008,868,351,0,5.9
2026-06-07,PRD0008,737,351,0,5.0
2026-06-14,PRD0008,713,288,0,5.0
2026-06-21,PRD0008,807,415,0,5.6
2026-06-28,PRD0008,707,351,0,4.4
2025-12-07,PRD0009,9473,3850,20,99.4
2025-12-14,PRD0009,9524,3354,14,84.3
2025-12-21,PRD0009,7455,3580,15,72.7
2025-12-28,PRD0009,8602,4575,11,78.9
2026-01-04,PRD0009,8838,4142,18,87.0
2026-01-11,PRD0009,8103,3283,16,83.3
2026-01-18,PRD0009,7814,2935,18,80.9
2026-01-25,PRD0009,9653,4445,15,89.4
2026-02-01,PRD0009,9269,4263,18,97.5
2026-02-08,PRD0009,8421,3497,18,83.4
2026-02-15,PRD0009,8127,3763,15,86.9
2026-02-22,PRD0009,7535,3718,10,63.9
2026-03-01,PRD0009,7566,2877,13,79.6
2026-03-08,PRD0009,8002,4008,18,84.9
2026-03-15,PRD0009,8466,4234,15,84.9
2026-03-22,PRD0009,8758,4189,14,79.8
2026-03-29,PRD0009,9536,4890,16,87.7
2026-04-05,PRD0009,9767,3927,14,92.8
2026-04-12,PRD0009,8844,3188,19,90.5
2026-04-19,PRD0009,7500,2953,11,66.4
2026-04-26,PRD0009,9660,4348,15,95.7
2026-05-03,PRD0009,9138,3233,19,96.3
2026-05-10,PRD0009,9136,4471,16,84.2
2026-05-17,PRD0009,8927,3497,16,82.5
2026-05-24,PRD0009,9220,4299,15,94.6
2026-05-31,PRD0009,7818,3069,14,83.1
2026-06-07,PRD0009,9331,3791,17,94.0
2026-06-14,PRD0009,7806,3046,15,78.0
2026-06-21,PRD0009,8242,3313,11,72.5
2026-06-28,PRD0009,7465,3513,14,76.0
2025-04-21,PRD0010,8637,3342,10,79.2
2025-04-28,PRD0010,9536,5004,13,88.3
2025-05-05,PRD0010,9548,4932,19,100.0
2025-05-12,PRD0010,9736,4110,12,88.4
2025-05-19,PRD0010,9067,4777,13,84.4
2025-05-26,PRD0010,8382,3296,11,74.0
2025-06-02,PRD0010,8887,4390,18,92.3
2025-06-09,PRD0010,8597,4305,19,92.6
2025-06-16,PRD0010,9146,4655,18,100.0
2025-06-23,PRD0010,7762,2883,9,63.1
2025-06-30,PRD0010,7689,2708,11,65.9
2025-07-07,PRD0010,8742,4333,20,89.9
2025-07-14,PRD0010,8537,4090,20,98.0
2025-07-21,PRD0010,8549,3470,16,84.1
2025-07-28,PRD0010,7648,2860,10,68.8
2025-08-04,PRD0010,10041,5488,23,100.0
2025-08-11,PRD0010,9253,5001,19,100.0
2025-08-18,PRD0010,10041,3864,13,93.8
2025-08-25,PRD0010,8769,4623,17,87.0
2025-09-01,PRD0010,7615,3523,9,69.0
2025-09-08,PRD0010,8130,3491,13,72.6
2025-09-15,PRD0010,8708,3858,12,74.0
2025-09-22,PRD0010,9948,4788,23,100.0
2025-09-29,PRD0010,9448,4665,13,83.7
2025-10-06,PRD0010,9345,5070,13,88.6
2025-10-13,PRD0010,9716,5335,12,87.4
2025-10-20,PRD0010,9841,4544,20,100.0
2025-10-27,PRD0010,9463,4717,14,83.2
2025-11-03,PRD0010,8535,4388,15,83.1
2025-11-10,PRD0010,9960,4932,18,97.1
2025-11-17,PRD0010,9260,3994,17,91.5
2025-11-24,PRD0010,10178,5124,14,95.9
2025-12-01,PRD0010,9927,4816,16,100.0
2025-12-08,PRD0010,7786,3119,10,74.7
2025-12-15,PRD0010,9276,4082,17,96.0
2025-12-22,PRD0010,9928,4156,22,100.0
2025-12-29,PRD0010,7942,3322,15,83.9
2026-01-05,PRD0010,9825,4566,23,100.0
2026-01-12,PRD0010,9754,4187,21,100.0
2026-01-19,PRD0010,10197,4678,18,100.0
2026-01-26,PRD0010,8234,3788,19,93.9
2026-02-02,PRD0010,9379,4760,16,89.7
2026-02-09,PRD0010,9786,4155,22,100.0
2026-02-16,PRD0010,9740,3835,15,91.2
2026-02-23,PRD0010,9559,3549,18,96.5
2026-03-02,PRD0010,9780,5174,13,82.1
2026-03-09,PRD0010,9671,4360,12,81.5
2026-03-16,PRD0010,7748,4184,11,70.8
2026-03-23,PRD0010,9756,4472,12,91.0
2026-03-30,PRD0010,7618,2713,10,65.7
2026-04-06,PRD0010,9625,3506,14,96.1
2026-04-13,PRD0010,8680,3658,14,86.3
2026-04-20,PRD0010,8356,3572,12,76.9
2026-04-27,PRD0010,9128,4068,17,86.0
2026-05-04,PRD0010,8865,3158,14,78.8
2026-05-11,PRD0010,9424,4921,15,91.0
2026-05-18,PRD0010,7817,3812,15,78.2
2026-05-25,PRD0010,10145,4545,12,83.0
2026-06-01,PRD0010,8855,4703,15,87.4
2026-06-08,PRD0010,7776,3847,16,87.1
2026-06-15,PRD0010,8768,4382,13,88.5
2026-06-22,PRD0010,7647,3150,16,85.3
2026-06-29,PRD0010,8133,3514,9,66.4
2026-04-17,PRD0011,1790,806,3,18.0
2026-04-24,PRD0011,1895,911,2,16.4
2026-05-01,PRD0011,1578,837,2,13.4
2026-05-08,PRD0011,1378,512,1,11.5
2026-05-15,PRD0011,1319,463,1,11.0
2026-05-22,PRD0011,1367,490,1,10.6
2026-05-29,PRD0011,1312,519,1,10.8
2026-06-05,PRD0011,999,377,1,9.0
2026-06-12,PRD0011,1040,440,1,8.1
2026-06-19,PRD0011,1045,498,0,6.8
2026-06-26,PRD0011,921,400,0,5.8
2026-02-13,PRD0012,3016,1271,5,31.2
2026-02-20,PRD0012,2983,1566,4,25.8
2026-02-27,PRD0012,2715,1311,4,27.4
2026-03-06,PRD0012,2557,1029,3,23.5
2026-03-13,PRD0012,2408,1041,4,22.5
2026-03-20,PRD0012,2377,895,4,21.5
2026-03-27,PRD0012,2308,1171,3,21.4
2026-04-03,PRD0012,2727,959,6,27.8
2026-04-10,PRD0012,2994,1563,6,29.7
2026-04-17,PRD0012,2638,1175,3,22.6
2026-04-24,PRD0012,2765,1267,5,26.2
2026-05-01,PRD0012,2361,1067,5,23.4
2026-05-08,PRD0012,2669,1461,5,26.0
2026-05-15,PRD0012,2861,1481,4,25.3
2026-05-22,PRD0012,2469,893,4,25.2
2026-05-29,PRD0012,2882,1024,5,30.4
2026-06-05,PRD0012,2571,1211,5,27.5
2026-06-12,PRD0012,2361,1116,5,26.6
2026-06-19,PRD0012,2775,1390,3,24.3
2026-06-26,PRD0012,2489,1255,4,22.2
2025-12-06,PRD0013,8142,4115,16,78.2
2025-12-13,PRD0013,6570,3153,13,66.4
2025-12-20,PRD0013,6893,3679,12,67.9
2025-12-27,PRD0013,6689,3464,9,61.6
2026-01-03,PRD0013,6016,3051,5,47.6
2026-01-10,PRD0013,6285,2869,8,52.7
2026-01-17,PRD0013,5830,3060,7,49.4
2026-01-24,PRD0013,4669,1857,4,40.9
2026-01-31,PRD0013,4270,2071,3,34.1
2026-02-07,PRD0013,3829,1809,4,34.2
2026-02-14,PRD0013,3606,1756,3,29.5
2026-02-21,PRD0013,3587,1628,2,28.1
2026-02-28,PRD0013,3075,1444,2,23.3
2026-03-07,PRD0013,3467,1473,2,27.3
2026-03-14,PRD0013,2995,1252,1,20.0
2026-03-21,PRD0013,2650,1219,1,17.9
2026-03-28,PRD0013,2419,1086,1,17.8
2026-04-04,PRD0013,2486,1079,1,19.5
2026-04-11,PRD0013,2316,860,1,16.5
2026-04-18,PRD0013,1872,939,1,13.1
2026-04-25,PRD0013,1684,769,0,10.3
2026-05-02,PRD0013,1761,630,0,10.7
2026-05-09,PRD0013,1868,922,0,11.7
2026-05-16,PRD0013,1539,770,0,9.8
2026-05-23,PRD0013,1169,545,0,7.2
2026-05-30,PRD0013,1261,577,0,7.8
2026-06-06,PRD0013,1274,694,0,7.8
2026-06-13,PRD0013,1197,476,0,8.2
2026-06-20,PRD0013,1151,403,0,7.4
2026-06-27,PRD0013,1361,597,0,9.3
2025-09-29,PRD0014,4378,1921,6,42.6
2025-10-06,PRD0014,4975,2488,6,45.8
2025-10-13,PRD0014,4103,1988,7,42.6
2025-10-20,PRD0014,4288,1518,7,40.8
2025-10-27,PRD0014,4423,1729,6,37.8
2025-11-03,PRD0014,4957,2412,6,43.3
2025-11-10,PRD0014,4121,1733,6,39.8
2025-11-17,PRD0014,5040,2146,11,58.1
2025-11-24,PRD0014,4753,2199,9,45.2
2025-12-01,PRD0014,4789,1697,9,47.6
2025-12-08,PRD0014,3854,1685,6,36.3
2025-12-15,PRD0014,4417,1853,6,43.0
2025-12-22,PRD0014,4177,1594,6,39.4
2025-12-29,PRD0014,4525,2064,6,38.2
2026-01-05,PRD0014,4341,1561,6,41.2
2026-01-12,PRD0014,4041,1911,7,38.4
2026-01-19,PRD0014,4536,1819,6,38.9
2026-01-26,PRD0014,4415,2314,6,39.8
2026-02-02,PRD0014,4051,1471,9,44.7
2026-02-09,PRD0014,4600,2330,10,52.2
2026-02-16,PRD0014,4827,1967,8,46.4
2026-02-23,PRD0014,4053,1432,9,44.6
2026-03-02,PRD0014,3930,1982,5,36.8
2026-03-09,PRD0014,4547,2299,8,44.2
2026-03-16,PRD0014,4068,1857,5,37.8
2026-03-23,PRD0014,4266,1639,6,41.3
2026-03-30,PRD0014,4503,2381,7,40.7
2026-04-06,PRD0014,4460,2316,6,41.4
2026-04-13,PRD0014,4322,2189,7,41.5
2026-04-20,PRD0014,4785,2357,6,43.5
2026-04-27,PRD0014,3883,2122,5,33.8
2026-05-04,PRD0014,4541,2034,9,47.4
2026-05-11,PRD0014,4807,2536,8,47.9
2026-05-18,PRD0014,4528,2296,8,47.4
2026-05-25,PRD0014,4373,1750,10,45.5
2026-06-01,PRD0014,4985,1870,6,41.2
2026-06-08,PRD0014,5170,2680,6,48.1
2026-06-15,PRD0014,4343,1780,5,37.9
2026-06-22,PRD0014,4840,1902,10,52.9
2026-06-29,PRD0014,4434,2075,9,43.8
2025-04-29,PRD0015,8438,3193,19,97.6
2025-05-06,PRD0015,8063,3465,16,82.0
2025-05-13,PRD0015,7937,2984,18,83.3
2025-05-20,PRD0015,7782,3719,10,68.7
2025-05-27,PRD0015,8318,4424,18,94.3
2025-06-03,PRD0015,7606,3109,16,81.3
2025-06-10,PRD0015,7508,4101,16,74.7
2025-06-17,PRD0015,8268,3406,14,74.9
2025-06-24,PRD0015,7667,3824,14,71.9
2025-07-01,PRD0015,8733,4158,14,83.4
2025-07-08,PRD0015,8275,3910,13,77.0
2025-07-15,PRD0015,8364,4267,15,88.5
2025-07-22,PRD0015,9384,4097,17,96.6
2025-07-29,PRD0015,8834,4415,15,93.3
2025-08-05,PRD0015,7803,4018,12,76.6
2025-08-12,PRD0015,9313,4442,12,87.3
2025-08-19,PRD0015,7915,3746,12,71.6
