seller_id,avg_breach_rate,avg_rating,avg_exposure,avg_return_rate,breach_component,rating_component,exposure_component,return_component,health_score,is_at_risk,at_risk_label,n_returns
SEL0027,0.125,4.235294117647059,68.99342105263158,0.0,87.5,80.88235294117648,68.99342105263158,100.0,82.49949690402477,False,Healthy,0.0
SEL0028,0.7857142857142857,2.75,11.151190476190477,0.2857142857142857,21.42857142857143,43.75,11.151190476190477,71.42857142857143,30.309642857142855,True,At-Risk,5.0
SEL0029,0.5756410256410256,3.0,20.02769230769231,0.16282051282051282,42.43589743589744,50.0,20.02769230769231,83.71794871794872,43.418564102564105,True,At-Risk,12.0
SEL0030,0.625,1.8333333333333333,6.675,0.625,37.5,20.833333333333332,6.675,37.5,24.919166666666666,True,At-Risk,4.0
SEL0031,0.015873015873015872,4.045454545454546,53.5079365079365,0.06349206349206349,98.41269841269842,76.13636363636364,53.5079365079365,93.65079365079364,79.77171717171717,False,Healthy,2.0
SEL0032,0.07142857142857142,3.909090909090909,46.53690476190476,0.07142857142857142,92.85714285714286,72.72727272727273,46.53690476190476,92.85714285714286,74.9350974025974,False,Healthy,1.0
SEL0034,0.09090909090909091,3.8333333333333335,55.91818181818182,0.09090909090909091,90.9090909090909,70.83333333333334,55.91818181818182,90.9090909090909,76.39666666666668,False,Healthy,1.0
SEL0035,0.10256410256410256,3.9166666666666665,70.22051282051282,0.0,89.74358974358975,72.91666666666666,70.22051282051282,100.0,82.05974358974359,False,Healthy,0.0
SEL0036,0.18,4.115384615384615,62.67465277777777,0.06,82.0,77.88461538461537,62.67465277777777,94.0,77.1793189102564,False,Healthy,2.0
SEL0037,0.13636363636363635,3.2,53.02272727272727,0.13636363636363635,86.36363636363636,55.00000000000001,53.02272727272727,86.36363636363636,70.08863636363635,False,Healthy,2.0
SEL0038,0.11904761904761904,3.696969696969697,49.35285714285715,0.07142857142857142,88.09523809523809,67.42424242424242,49.35285714285715,92.85714285714286,73.05261038961038,False,Healthy,2.0
SEL0039,0.2619047619047619,3.28125,57.311904761904756,0.06349206349206349,73.80952380952381,57.03125,57.311904761904756,93.65079365079364,68.48077380952381,False,Healthy,2.0
SEL0040,0.3148148148148148,3.4666666666666663,18.02,0.08796296296296297,68.5185185185185,61.66666666666666,18.02,91.2037037037037,55.40137037037036,False,Healthy,3.0
