return_id,order_id,reason_code,return_date,refund_amount,product_id,seller_id,at_risk_label
RET0039,ORD00697,LATE_DELIVERY,2026-07-09,18.08,PRD0043,SEL0008,At-Risk
RET0040,ORD00174,LATE_DELIVERY,2026-06-11,54.02,PRD0147,SEL0036,Healthy
RET0041,ORD00654,LATE_DELIVERY,2025-09-18,10.24,PRD0045,SEL0016,At-Risk
RET0042,ORD00271,DAMAGED,2026-07-01,55.42,PRD0130,SEL0037,Healthy
RET0043,ORD00466,LATE_DELIVERY,2026-06-18,24.48,PRD0056,SEL0031,Healthy
RET0044,ORD00417,LATE_DELIVERY,2025-09-27,114.14,PRD0149,SEL0039,Healthy
RET0045,ORD00324,LATE_DELIVERY,2026-07-08,9.91,PRD0045,SEL0016,At-Risk
RET0046,ORD00408,LATE_DELIVERY,2026-05-10,19.61,PRD0109,SEL0012,At-Risk
RET0047,ORD00431,LATE_DELIVERY,2026-06-08,19.88,PRD0058,SEL0009,At-Risk
RET0048,ORD00246,LATE_DELIVERY,2026-05-08,25.32,PRD0046,SEL0001,Healthy
RET0049,ORD00193,LATE_DELIVERY,2026-01-01,30.02,PRD0045,SEL0016,At-Risk
RET0050,ORD00608,LATE_DELIVERY,2026-05-14,18.13,PRD0142,SEL0029,At-Risk
RET0051,ORD00247,LATE_DELIVERY,2025-11-12,19.22,PRD0099,SEL0009,At-Risk
RET0052,ORD00272,CHANGED_MIND,2026-04-17,8.63,PRD0108,SEL0012,At-Risk
RET0053,ORD00924,LATE_DELIVERY,2026-05-26,5.84,PRD0123,SEL0028,At-Risk
RET0054,ORD00776,LATE_DELIVERY,2026-06-10,14.7,PRD0019,SEL0024,Healthy
RET0055,ORD00187,CHANGED_MIND,2026-07-11,12.12,PRD0056,SEL0031,Healthy
RET0056,ORD00416,CHANGED_MIND,2026-05-09,6.48,PRD0037,SEL0008,At-Risk
RET0057,ORD00226,LATE_DELIVERY,2025-10-02,42.19,PRD0022,SEL0016,At-Risk
RET0058,ORD00678,LATE_DELIVERY,2026-07-01,14.11,PRD0040,SEL0038,Healthy
RET0059,ORD00766,CHANGED_MIND,2025-12-03,9.97,PRD0045,SEL0016,At-Risk
RET0060,ORD00012,LATE_DELIVERY,2025-10-04,25.99,PRD0008,SEL0015,At-Risk
RET0061,ORD00885,LATE_DELIVERY,2025-11-02,34.6,PRD0048,SEL0022,Healthy
RET0062,ORD00742,LATE_DELIVERY,2026-07-19,20.61,PRD0058,SEL0009,At-Risk
RET0063,ORD00323,LATE_DELIVERY,2026-03-25,25.03,PRD0076,SEL0014,Healthy
RET0064,ORD00108,LATE_DELIVERY,2026-06-08,25.86,PRD0005,SEL0022,Healthy
RET0065,ORD00356,CHANGED_MIND,2025-11-06,16.91,PRD0017,SEL0024,Healthy
RET0066,ORD00160,LATE_DELIVERY,2026-05-07,12.9,PRD0099,SEL0009,At-Risk
RET0067,ORD00757,CHANGED_MIND,2025-09-06,27.17,PRD0002,SEL0034,Healthy
RET0068,ORD00545,LATE_DELIVERY,2026-05-04,20.16,PRD0037,SEL0008,At-Risk
RET0069,ORD00886,NOT_AS_DESCRIBED,2025-07-17,42.3,PRD0131,SEL0007,At-Risk
RET0070,ORD00032,LATE_DELIVERY,2026-03-14,30.67,PRD0132,SEL0015,At-Risk
RET0071,ORD00752,LATE_DELIVERY,2026-05-01,61.21,PRD0090,SEL0015,At-Risk
RET0072,ORD00045,NOT_AS_DESCRIBED,2025-12-26,44.9,PRD0025,SEL0039,Healthy
RET0073,ORD00314,CHANGED_MIND,2026-06-03,25.8,PRD0009,SEL0018,Healthy
RET0074,ORD00598,WRONG_ITEM,2025-06-24,22.06,PRD0131,SEL0007,At-Risk
RET0075,ORD00799,LATE_DELIVERY,2026-03-19,12.64,PRD0122,SEL0014,Healthy
RET0076,ORD00434,LATE_DELIVERY,2026-01-26,11.55,PRD0134,SEL0009,At-Risk
RET0077,ORD00203,LATE_DELIVERY,2026-01-24,30.17,PRD0078,SEL0021,Healthy
RET0078,ORD00955,LATE_DELIVERY,2026-07-10,9.9,PRD0098,SEL0029,At-Risk
RET0079,ORD00343,LATE_DELIVERY,2026-04-09,68.61,PRD0020,SEL0028,At-Risk
RET0080,ORD00364,WRONG_ITEM,2026-02-02,11.16,PRD0133,SEL0007,At-Risk
RET0081,ORD00175,LATE_DELIVERY,2026-04-04,58.56,PRD0057,SEL0029,At-Risk
RET0082,ORD00261,CHANGED_MIND,2026-04-12,12.93,PRD0074,SEL0029,At-Risk
RET0083,ORD00783,LATE_DELIVERY,2026-05-04,12.22,PRD0029,SEL0013,Healthy
RET0084,ORD00601,LATE_DELIVERY,2025-08-20,13.89,PRD0042,SEL0011,Healthy
RET0085,ORD00442,CHANGED_MIND,2026-05-01,26.53,PRD0011,SEL0024,Healthy
RET0086,ORD00383,WRONG_ITEM,2025-12-28,45.37,PRD0130,SEL0037,Healthy
RET0087,ORD00754,WRONG_ITEM,2026-07-11,7.78,PRD0053,SEL0029,At-Risk
RET0088,ORD00622,LATE_DELIVERY,2026-06-13,11.72,PRD0123,SEL0028,At-Risk
RET0089,ORD00769,LATE_DELIVERY,2026-04-24,25.4,PRD0096,SEL0006,Healthy
RET0090,ORD00216,LATE_DELIVERY,2026-04-03,11.14,PRD0133,SEL0007,At-Risk
RET0091,ORD00703,LATE_DELIVERY,2025-11-06,16.53,PRD0045,SEL0016,At-Risk
RET0092,ORD00640,LATE_DELIVERY,2026-02-19,31.23,PRD0060,SEL0023,Healthy
RET0093,ORD00377,CHANGED_MIND,2025-12-18,19.12,PRD0070,SEL0008,At-Risk
RET0094,ORD00375,LATE_DELIVERY,2026-02-21,44.09,PRD0069,SEL0010,Healthy
RET0095,ORD00696,LATE_DELIVERY,2026-03-15,16.87,PRD0127,SEL0003,Healthy
RET0096,ORD00771,LATE_DELIVERY,2026-03-30,19.27,PRD0070,SEL0008,At-Risk
RET0097,ORD00591,LATE_DELIVERY,2026-01-09,12.35,PRD0124,SEL0017,At-Risk
RET0098,ORD00369,LATE_DELIVERY,2026-05-07,14.67,PRD0140,SEL0021,Healthy
RET0099,ORD00511,LATE_DELIVERY,2026-06-21,12.25,PRD0086,SEL0021,Healthy
RET0100,ORD00454,WRONG_ITEM,2026-02-10,7.77,PRD0060,SEL0023,Healthy
RET0101,ORD00074,CHANGED_MIND,2026-06-06,12.32,PRD0028,SEL0009,At-Risk
RET0102,ORD00137,WRONG_ITEM,2026-02-17,12.05,PRD0143,SEL0023,Healthy
RET0103,ORD00578,LATE_DELIVERY,2026-05-20,3.38,PRD0099,SEL0009,At-Risk
RET0104,ORD00648,LATE_DELIVERY,2026-05-24,168.33,PRD0050,SEL0025,Healthy
RET0105,ORD00990,LATE_DELIVERY,2025-11-05,26.33,PRD0008,SEL0015,At-Risk
RET0106,ORD00103,LATE_DELIVERY,2026-03-17,26.7,PRD0027,SEL0017,At-Risk
RET0107,ORD00484,LATE_DELIVERY,2026-01-07,19.44,PRD0070,SEL0008,At-Risk
RET0108,ORD00320,LATE_DELIVERY,2026-06-06,41.12,PRD0027,SEL0017,At-Risk
RET0109,ORD00181,CHANGED_MIND,2026-05-26,8.18,PRD0011,SEL0024,Healthy
RET0110,ORD00944,LATE_DELIVERY,2026-02-20,19.98,PRD0090,SEL0015,At-Risk
RET0111,ORD00524,WRONG_ITEM,2026-01-26,47.93,PRD0061,SEL0013,Healthy
RET0112,ORD00319,LATE_DELIVERY,2026-06-24,9.08,PRD0004,SEL0040,Healthy
RET0113,ORD00857,LATE_DELIVERY,2026-03-03,14.01,PRD0019,SEL0024,Healthy
RET0114,ORD00046,LATE_DELIVERY,2026-06-15,11.67,PRD0053,SEL0029,At-Risk
RET0115,ORD00579,LATE_DELIVERY,2026-06-19,19.91,PRD0098,SEL0029,At-Risk
RET0116,ORD00488,LATE_DELIVERY,2026-06-09,17.12,PRD0011,SEL0024,Healthy
RET0117,ORD00865,WRONG_ITEM,2026-07-13,86.73,PRD0035,SEL0023,Healthy
RET0118,ORD00789,DAMAGED,2025-10-27,208.36,PRD0128,SEL0005,Healthy
RET0119,ORD00427,LATE_DELIVERY,2026-07-04,34.33,PRD0121,SEL0019,Healthy
RET0120,ORD00395,LATE_DELIVERY,2026-02-25,10.64,PRD0043,SEL0008,At-Risk
RET0121,ORD00699,WRONG_ITEM,2025-09-07,5.99,PRD0094,SEL0026,Healthy
RET0122,ORD00365,LATE_DELIVERY,2026-06-25,82.25,PRD0089,SEL0030,At-Risk
RET0123,ORD00013,LATE_DELIVERY,2026-02-27,23.21,PRD0032,SEL0017,At-Risk
RET0124,ORD00515,LATE_DELIVERY,2026-02-26,25.92,PRD0086,SEL0021,Healthy
RET0125,ORD00214,LATE_DELIVERY,2026-01-13,3.16,PRD0099,SEL0009,At-Risk
RET0126,ORD00870,CHANGED_MIND,2026-06-17,17.38,PRD0075,SEL0017,At-Risk
RET0127,ORD00585,WRONG_ITEM,2025-04-09,7.69,PRD0042,SEL0011,Healthy
RET0128,ORD00411,LATE_DELIVERY,2025-11-06,7.21,PRD0041,SEL0015,At-Risk
RET0129,ORD00755,LATE_DELIVERY,2026-03-09,6.33,PRD0124,SEL0017,At-Risk
RET0130,ORD00577,WRONG_ITEM,2026-05-10,40.26,PRD0079,SEL0012,At-Risk
RET0131,ORD00509,WRONG_ITEM,2026-03-09,22.8,PRD0053,SEL0029,At-Risk
RET0132,ORD00760,LATE_DELIVERY,2025-12-04,2.53,PRD0018,SEL0004,Healthy
RET0133,ORD00023,LATE_DELIVERY,2026-06-25,54.42,PRD0089,SEL0030,At-Risk
RET0134,ORD00947,CHANGED_MIND,2025-12-17,11.1,PRD0014,SEL0002,Healthy
RET0135,ORD00226,LATE_DELIVERY,2025-09-26,30.87,PRD0022,SEL0016,At-Risk
RET0136,ORD00114,LATE_DELIVERY,2025-06-25,18.55,PRD0015,SEL0017,At-Risk
RET0137,ORD00837,LATE_DELIVERY,2026-05-18,30.24,PRD0112,SEL0015,At-Risk
RET0138,ORD00389,LATE_DELIVERY,2025-09-10,11.54,PRD0041,SEL0015,At-Risk
RET0139,ORD00148,CHANGED_MIND,2026-05-02,11.09,PRD0088,SEL0002,Healthy
RET0140,ORD00514,LATE_DELIVERY,2025-10-20,4.92,PRD0073,SEL0009,At-Risk
RET0141,ORD00095,CHANGED_MIND,2026-06-30,5.12,PRD0068,SEL0002,Healthy
RET0142,ORD00860,LATE_DELIVERY,2026-05-13,15.95,PRD0087,SEL0009,At-Risk
